listing_url,listing_no,title,location,prop_type,list_date,price_ksh,price_flag,log_price_ksh,size_acres,size_source,log_size_acres,latitude,longitude,geocode_source,geocode_confidence,county,dist_to_nairobi_km,dist_to_county_town_km,reference_city,reference_city_dist_km,amenities_score,accessibility_score,price_per_acre,log_price_per_acre
https://www.property24.co.ke/vacant-land-plot-for-sale-in-kikuyu-117101653,117101653,Vacant Land / Plot for Sale in Kikuyu,,,,,missing,,,missing,,,,failed,0.0,Kiambu,,,,,0.0,,,
https://www.property24.co.ke/vacant-land-plot-for-sale-in-kiambu-117101654,117101654,Vacant Land / Plot for Sale in Kiambu,"Thigio Kiambu County, Kiambu, Kiambu",,8-Apr-26,1299000.0,clean,14.077105295652737,,missing,,-1.1132722,36.6250785,street_address,0.8,Kiambu,29.57,29.57,Kiambu,24.59,66.58,44.67,,
https://www.property24.co.ke/vacant-land-plot-for-sale-in-kikuyu-117101669,117101669,Vacant Land / Plot for Sale in Kikuyu,"Thigio Kiambu County, Kikuyu, Kikuyu",,8-Apr-26,1299000.0,clean,14.077105295652737,,missing,,-1.2850461,36.6227734,street_address,0.8,Kiambu,22.15,36.54,Nairobi,22.15,31.57,55.55,,
https://www.property24.co.ke/vacant-land-plot-for-sale-in-kikuyu-117101585,117101585,Vacant Land / Plot for Sale in Kikuyu,,,,1299000.0,clean,14.077105295652737,,missing,,,,failed,0.0,Kiambu,,,,,0.0,,,
https://www.property24.co.ke/vacant-land-plot-for-sale-in-kikuyu-117101656,117101656,Vacant Land / Plot for Sale in Kikuyu,"Thigio Kiambu County, Kikuyu, Kikuyu",,8-Apr-26,1299000.0,clean,14.077105295652737,,missing,,-1.2850461,36.6227734,street_address,0.8,Kiambu,22.15,36.54,Nairobi,22.15,31.57,55.55,,
https://www.property24.co.ke/vacant-land-plot-for-sale-in-kikuyu-117101695,117101695,Vacant Land / Plot for Sale in Kikuyu,"Thigio Kiambu County, Kikuyu, Kikuyu",,8-Apr-26,1299000.0,clean,14.077105295652737,,missing,,-1.2850461,36.6227734,street_address,0.8,Kiambu,22.15,36.54,Nairobi,22.15,31.57,55.55,,
https://www.property24.co.ke/vacant-land-plot-for-sale-in-konza-117070155,117070155,Vacant Land / Plot for Sale in Konza,"8589+3j7 Konza, Konza, Machakos",,26-Mar-26,14000000.0,clean,16.454567887579532,10.8,nlp_description,2.379546134130174,-1.7639205,37.2467907,nlp_landmark,0.5,Makueni,70.59,70.59,Makueni,41.71,10.0,11.99,1296296.3,14.075021756306501
https://www.property24.co.ke/vacant-land-plot-for-sale-in-kikuyu-117101671,117101671,Vacant Land / Plot for Sale in Kikuyu,,,,,missing,,,missing,,,,failed,0.0,Kiambu,,,,,0.0,,,
https://www.property24.co.ke/vacant-land-plot-for-sale-in-joska-117083766,117083766,Vacant Land / Plot for Sale in Joska,"M3cv+27 Pridelands, Joska, Nairobi",,31-Mar-26,207000000.0,clean,19.14822935122964,46.0,nlp_description,3.828641396489095,-0.4376832,34.0199863,nlp_landmark,0.5,Homa Bay,325.69,325.69,Homa Bay,49.77,19.01,29.76,4500000.0,15.319587954740548
https://www.property24.co.ke/vacant-land-plot-for-sale-in-muthaiga-117086454,117086454,Vacant Land / Plot for Sale in Muthaiga,"Muthaiga Nairobi, Muthaiga, Nairobi",,1-Apr-26,500000000.0,clean,20.030118656386467,2.5,nlp_description,0.9162907318741551,-1.251796,36.8185479,street_address,0.8,Nairobi,4.5,4.5,Nairobi,4.5,82.36,67.27,200000000.0,19.11382792451231
https://www.property24.co.ke/vacant-land-plot-for-sale-in-lukenya-117099203,117099203,Vacant Land / Plot for Sale in Lukenya,"Lukenya Machakos County, Lukenya, Athi River",,8-Apr-26,9500000.0,clean,16.06680235657077,2.0,nlp_description,0.6931471805599453,-1.4816465,37.076531,street_address,0.8,Machakos,35.29,35.29,Machakos,21.16,25.62,28.48,4750000.0,15.373655176010823
https://www.property24.co.ke/vacant-land-plot-for-sale-in-ngong-117099209,117099209,Vacant Land / Plot for Sale in Ngong,"Kibiko Kajiado County, Ngong, Ngong",,8-Apr-26,4000000.0,clean,15.201804919084164,0.114784,nlp_description,-2.164703177632265,-1.3371595,36.6445339,street_address,0.8,Kajiado,20.34,58.98,Nairobi,20.34,35.48,28.31,34848062.45,17.36650809678163
https://www.property24.co.ke/vacant-land-plot-for-sale-in-kajiado-117097133,117097133,Vacant Land / Plot for Sale in Kajiado,"Namanga Road Kitengela, Kajiado, Kajiado",,7-Apr-26,850000000.0,clean,20.560746907448635,540.0,nlp_description,6.29156913955832,-1.5249414,36.9449394,street_address,0.8,Kajiado,29.28,40.53,Nairobi,29.28,40.24,50.4,1574074.07,14.26917776530208
https://www.property24.co.ke/vacant-land-plot-for-sale-in-karen-117086508,117086508,Vacant Land / Plot for Sale in Karen,,,,,missing,,,missing,,,,failed,0.0,Nairobi,,,,,0.0,,,
https://www.property24.co.ke/vacant-land-plot-for-sale-in-konza-117052333,117052333,Vacant Land / Plot for Sale in Konza,"Malili, Konza, Machakos",,22-Mar-26,8700000.0,clean,15.978833583624812,10.0,nlp_description,2.302585092994046,-1.7639205,37.2467907,nlp_landmark,0.5,Makueni,70.59,70.59,Makueni,41.71,10.0,41.19,870000.0,13.676248490630767
https://www.property24.co.ke/vacant-land-plot-for-sale-in-konza-117051993,117051993,,,,,,missing,,,missing,,,,failed,0.0,,,,,,0.0,,,
https://www.property24.co.ke/vacant-land-plot-for-sale-in-konza-117052324,117052324,,,,,,missing,,,missing,,,,failed,0.0,,,,,,0.0,,,
https://www.property24.co.ke/vacant-land-plot-for-sale-in-loresho-117091261,117091261,Vacant Land / Plot for Sale in Loresho,"Loresho Nairobi, Loresho, Nairobi",,3-Apr-26,55000000.0,clean,17.822843743196746,0.45,nlp_description,-0.7985076962177716,-1.2569762,36.7481694,street_address,0.8,Nairobi,9.08,9.08,Nairobi,9.08,74.04,56.99,122222222.22,18.621351439396335
https://www.property24.co.ke/vacant-land-plot-for-sale-in-kikuyu-117101646,117101646,Vacant Land / Plot for Sale in Kikuyu,"Kiambu Kiambu County, Kikuyu, Kikuyu",,8-Apr-26,1299000.0,clean,14.077105295652737,,missing,,-1.3138818,36.7008996,street_address,0.8,Nairobi,13.67,13.67,Nairobi,13.67,70.58,50.89,,
https://www.property24.co.ke/vacant-land-plot-for-sale-in-konza-117055063,117055063,Vacant Land / Plot for Sale in Konza,"Malili Ke, Konza, Machakos",,23-Mar-26,7500000.0,clean,15.830413578506539,10.0,nlp_description,2.302585092994046,-1.3332811,36.8897579,nlp_landmark,0.5,Nairobi,8.82,8.82,Nairobi,8.82,79.75,78.44,750000.0,13.527828485512494
https://www.property24.co.ke/vacant-land-plot-for-sale-in-embu-117022224,117022224,Not Found,,,,5000000.0,clean,15.424948470398375,,missing,,,,failed,0.0,,,,,,0.0,,,
https://www.property24.co.ke/vacant-land-plot-for-sale-in-industrial-area-117026711,117026711,Vacant Land / Plot for Sale in Industrial Area,"Icd Rd Nairobi, Industrial Area, Nairobi",,14-Mar-26,145000000.0,clean,18.792244300384848,6.0,nlp_description,1.791759469228055,-1.3026148,36.828842,nlp_landmark,0.5,Nairobi,1.4,1.4,Nairobi,1.4,79.94,87.91,24166666.67,17.000484831294724
https://www.property24.co.ke/vacant-land-plot-for-sale-in-kerarapon-117070731,117070731,Vacant Land / Plot for Sale in Kerarapon,"Kerarapon Primary School Mmj5+29, Kerarapon, Nairobi",,27-Mar-26,16000000.0,clean,16.588099280204055,,missing,,-1.2921,36.8219,county_centroid,0.2,Nairobi,0.0,0.0,Nairobi,0.0,95.04,96.11,,
